Date,Action,Symbol,Shares,Price,Cost
01/02/2014,BUY,VWDRY,960,10.4034,7.0
01/03/2014,BUY,PFPT,292,34.18,7.0
01/07/2014,BUY,SPLK,132,75.39,7.0
01/09/2014,BUY,M,179,55.8,7.0
01/09/2014,BUY,NTDOY,547,18.25,7.0
01/10/2014,BUY,FDML,485,20.57,7.0
01/13/2014,SELL,FDML,485,19.52,7.0
01/13/2014,BUY,ENV,233,42.75,7.0
01/17/2014,SELL,NTDOY,547,14.9,7.0
01/21/2014,BUY,NVDQ,508,19.66,7.0
01/23/2014,BUY,HUBB,84,118.04,7.0
01/24/2014,SELL,NVDQ,508,18.84,7.0
01/27/2014,SELL,VWDRY,960,10.01,7.0
01/27/2014,SELL,HUBB,84,113.28,7.0
01/27/2014,SELL,SPLK,132,73.97,7.0
01/29/2014,SELL,M,179,53.39,7.0
01/29/2014,SELL,ENV,233,42.52,7.0
02/06/2014,BUY,GMT,176,56.74,7.0
02/07/2014,BUY,LVNTA,79,126.16,7.0
02/12/2014,BUY,SN,315,31.72,7.0
02/18/2014,SELL,SN,315,29.74,7.0
02/18/2014,BUY,PFPT,150,39.77,7.0
02/18/2014,BUY,NMBL,199,49.99,7.0
02/19/2014,BUY,FLS,123,80.6,7.0
02/21/2014,BUY,STRZA,320,31.15,7.0
02/24/2014,BUY,LEAF,352,28.36,7.0
02/25/2014,BUY,HUM,90,110.49,7.0
02/28/2014,SELL,NMBL,199,48.01,7.0
02/28/2014,BUY,HEI,160,62.19,7.0
03/12/2014,SELL,LEAF,352,26.15,7.0
03/12/2014,BUY,NUVA,266,37.48,7.0
03/13/2014,SELL,FLS,123,75.74,7.0
03/18/2014,BUY,LVNTA,42,142.31,7.0
03/18/2014,BUY,MFRM,209,47.76,7.0
03/21/2014,BUY,GMT,90,66.0,7.0
03/24/2014,SELL,PFPT,442,37.1,7.0
03/26/2014,SELL,LVNTA,121,130.34,7.0
03/26/2014,SELL,HEI,160,58.74,7.0
03/26/2014,SELL,NUVA,266,37.23,7.0
04/03/2014,BUY,BCPC,163,61.27,7.0
04/07/2014,SELL,BCPC,163,59.2,7.0
04/10/2014,SELL,MFRM,209,45.87,7.0
04/10/2014,SELL,HUM,90,109.66,7.0
04/10/2014,SELL,STRZA,320,31.46,7.0
04/17/2014,BUY,WSO,95,104.18,7.0
04/21/2014,BUY,AZN,144,69.1,7.0
04/22/2014,SELL,AZN,144,66.86,7.0
04/25/2014,BUY,ZBH,99,100.54,7.0
04/28/2014,SELL,GMT,266,64.87,7.0
04/30/2014,SELL,ZBH,99,96.8,7.0
05/01/2014,BUY,KEX,92,107.84,7.0
05/14/2014,SELL,WSO,95,100.69,7.0
05/28/2014,BUY,CAL,341,29.3,7.0
06/02/2014,SELL,CAL,341,27.83,7.0
06/09/2014,BUY,MTSI,454,21.99,7.0
06/11/2014,BUY,LNG,150,66.58,7.0
06/11/2014,BUY,FCNCA,39,251.91,7.0
06/17/2014,BUY,JWA,166,60.1,7.0
06/19/2014,BUY,GLOG,334,29.88,7.0
06/19/2014,BUY,FNV,180,55.47,7.0
06/19/2014,BUY,TAHO,392,25.49,7.0
06/19/2014,BUY,APD,77,129.7,7.0
07/01/2014,SELL,FCNCA,39,242.5,7.0
07/01/2014,BUY,ANET,131,76.0,7.0
07/07/2014,SELL,GLOG,334,28.23,7.0
07/07/2014,SELL,ANET,131,72.17,7.0
07/07/2014,BUY,MEI,270,37.01,7.0
07/07/2014,BUY,TGNA,313,31.88,7.0
07/08/2014,SELL,MTSI,454,21.03,7.0
07/10/2014,SELL,MEI,270,34.89,7.0
07/11/2014,BUY,KEX,46,116.49,7.0
07/23/2014,BUY,LEJU,683,13.15,7.0
07/28/2014,SELL,JWA,166,60.12,7.0
07/28/2014,BUY,JMEI,296,30.28,7.0
07/29/2014,BUY,LNG,72,74.46,7.0
07/31/2014,SELL,JMEI,296,28.54,7.0
08/01/2014,BUY,THC,171,52.34,7.0
08/05/2014,SELL,LEJU,683,11.94,7.0
08/07/2014,SELL,LNG,222,70.47,7.0
08/07/2014,SELL,APD,77,131.16,7.0
08/07/2014,BUY,LEAF,303,29.65,7.0
08/13/2014,BUY,KMI,231,38.77,7.0
08/15/2014,SELL,TAHO,392,25.74,7.0
08/21/2014,SELL,FNV,180,55.43,7.0
08/27/2014,BUY,ANET,108,83.16,7.0
08/28/2014,BUY,SIG,77,116.37,7.0
08/29/2014,BUY,GPRO,173,51.8,7.0
09/02/2014,BUY,KEX,29,120.63,7.0
09/04/2014,SELL,KMI,231,39.05,7.0
09/04/2014,BUY,MEI,226,39.72,7.0
09/05/2014,BUY,TGNA,160,33.5,7.0
09/08/2014,BUY,THC,91,58.99,7.0
09/09/2014,SELL,TGNA,473,32.38,7.0
09/10/2014,BUY,HQY,415,21.62,7.0
09/16/2014,SELL,HQY,415,20.1,7.0
